"Año";"Periodo";"Nuevos casos notificados cada día"
"2020";"Día 9 de diciembre";"872"
"2020";"Día 10 de diciembre";"1.715"
"2020";"Día 11 de diciembre";"2.122"
"2020";"Día 14 de diciembre";"3.816"
"2020";"Día 15 de diciembre";"2.004"
"2020";"Día 16 de diciembre";"2.334"
"2020";"Día 17 de diciembre";"2.354"
"2020";"Día 18 de diciembre";"2.238"
"2020";"Día 21 de diciembre";"3.807"
"2020";"Día 22 de diciembre";"2.391"
"2020";"Día 23 de diciembre";"2.543"
"2020";"Día 24 de diciembre";"2.770"
"2020";"Día 28 de diciembre";"2.873"
"2020";"Día 29 de diciembre";"3.018"
"2020";"Día 30 de diciembre";"1.782"
"2020";"Día 31 de diciembre";"6.201"
"2021";"Día 4 de enero";"4.119"
"2021";"Día 5 de enero";"4.422"
"2021";"Día 7 de enero";"8.684"
"2021";"Día 8 de enero";"4.571"
"2021";"Día 11 de enero";"7.886"
"2021";"Día 12 de enero";"4.922"
"2021";"Día 13 de enero";"4.432"
"2021";"Día 14 de enero";"5.255"
"2021";"Día 15 de enero";"5.447"
"2021";"Día 18 de enero";"8.975"
"2021";"Día 19 de enero";"5.504"
"2021";"Día 20 de enero";"6.218"
"2021";"Día 21 de enero";"7.097"
"2021";"Día 22 de enero";"6.360"
"2021";"Día 25 de enero";"9.739"
"2021";"Día 26 de enero";"5.372"
"2021";"Día 27 de enero";"6.188"
"2021";"Día 28 de enero";"5.662"
"2021";"Día 29 de enero";"5.438"
"2021";"Día 1 de febrero";"8.001"
"2021";"Día 2 de febrero";"4.151"
"2021";"Día 3 de febrero";"5.132"
"2021";"Día 4 de febrero";"4.199"
"2021";"Día 5 de febrero";"3.822"
"2021";"Día 8 de febrero";"5.605"
"2021";"Día 9 de febrero";"2.877"
"2021";"Día 10 de febrero";"3.625"
"2021";"Día 11 de febrero";"3.246"
"2021";"Día 12 de febrero";"2.743"
"2021";"Día 15 de febrero";"4.453"
"2021";"Día 16 de febrero";"2.342"
"2021";"Día 17 de febrero";"2.586"
"2021";"Día 18 de febrero";"2.302"
"2021";"Día 19 de febrero";"2.295"
"2021";"Día 22 de febrero";"3.531"
"2021";"Día 23 de febrero";"1.671"
"2021";"Día 24 de febrero";"2.072"
"2021";"Día 25 de febrero";"1.856"
"2021";"Día 26 de febrero";"1.563"
"2021";"Día 1 de marzo";"3.051"
"2021";"Día 2 de marzo";"1.587"
"2021";"Día 3 de marzo";"1.716"
"2021";"Día 4 de marzo";"1.653"
"2021";"Día 5 de marzo";"1.529"
"2021";"Día 8 de marzo";"2.732"
"2021";"Día 9 de marzo";"1.255"
"2021";"Día 10 de marzo";"1.474"
"2021";"Día 11 de marzo";"1.457"
"2021";"Día 12 de marzo";"1.276"
"2021";"Día 15 de marzo";"2.248"
"2021";"Día 16 de marzo";"1.335"
"2021";"Día 17 de marzo";"1.578"
"2021";"Día 18 de marzo";"1.498"
"2021";"Día 22 de marzo";"2.977"
"2021";"Día 23 de marzo";"1.547"
"2021";"Día 24 de marzo";"1.867"
"2021";"Día 25 de marzo";"1.843"
"2021";"Día 26 de marzo";"1.675"
"2021";"Día 29 de marzo";"3.196"
"2021";"Día 30 de marzo";"1.781"
"2021";"Día 31 de marzo";"2.078"
"2021";"Día 1 de abril";"2.527"
"2021";"Día 3 de abril";"1.338"
"2021";"Día 5 de abril";"902"
"2021";"Día 6 de abril";"2.533"
"2021";"Día 7 de abril";"2.946"
"2021";"Día 8 de abril";"2.764"
;;
;;
"Métrica":"Nuevos casos notificados cada día"
"Fuente":"Ministerio de Sanidad, Servicios Sociales e Igualdad"
"Clasificación":""
"Unidad":"Número de casos en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/nuevos-casos-notificados-cada-dia-lugar-comenzo-epidemia-coronavirus/339c307f-29a3-42f2-b4dc-f7451919ad8e/madrid/304"
"Titulo":"Nuevos casos notificados cada día en Comunidad de Madrid desde que comenzó la epidemia de coronavirus "
"Subtitulo":""
